"id","tti","cb_index","it","total_its","ext1_avg","ext2_avg","ext1_avg_abs","ext2_avg_abs","cb_size","tbs","mcs","snr","dec_time","avg_it_block","crc","filename"
4876,213,0,0,7,-1303587,-2277071,1487991,2413247,5760,11448,14,9.024142,445,6,1,"ags_data_2"
4876,213,0,1,7,-1303587,-2278192,1487991,2504150,5760,11448,14,9.024142,445,6,1,"ags_data_2"
4876,213,0,2,7,-3471979,-2278192,3716601,2504150,5760,11448,14,9.024142,445,6,1,"ags_data_2"
4876,213,0,3,7,-2497374,-5104025,2690618,5467547,5760,11448,14,9.024142,445,6,1,"ags_data_2"
4876,213,0,4,7,-7582042,-5104025,8161964,5467547,5760,11448,14,9.024142,445,6,1,"ags_data_2"
4876,213,0,5,7,-4975391,-10933214,5353827,11768354,5760,11448,14,9.024142,445,6,1,"ags_data_2"
4876,213,0,6,7,-14808428,-10933214,15920136,11768354,5760,11448,14,9.024142,445,6,1,"ags_data_2"
4936,287,0,0,5,-1331818,-4907284,1525392,4958114,5760,11448,14,8.642166,447,5.5,1,"ags_data_2"
4936,287,0,1,5,-1331818,-2335780,1525392,2560122,5760,11448,14,8.642166,447,5.5,1,"ags_data_2"
4936,287,0,2,5,-3502862,-2335780,3783706,2560122,5760,11448,14,8.642166,447,5.5,1,"ags_data_2"
4936,287,0,3,5,-2498900,-5220341,2720668,5623623,5760,11448,14,8.642166,447,5.5,1,"ags_data_2"
4936,287,0,4,5,-7870146,-5220341,8467292,5623623,5760,11448,14,8.642166,447,5.5,1,"ags_data_2"
4999,353,0,0,6,-1331370,-11321078,1451018,11419916,5760,11448,14,8.565431,478,6,1,"ags_data_2"
4999,353,0,1,6,-1331370,-2384834,1451018,2478512,5760,11448,14,8.565431,478,6,1,"ags_data_2"
4999,353,0,2,6,-3441322,-2384834,3525904,2478512,5760,11448,14,8.565431,478,6,1,"ags_data_2"
4999,353,0,3,6,-2387858,-4768782,2488702,4845274,5760,11448,14,8.565431,478,6,1,"ags_data_2"
4999,353,0,4,6,-6853870,-4768782,6941320,4845274,5760,11448,14,8.565431,478,6,1,"ags_data_2"
4999,353,0,5,6,-4472946,-10144489,4534872,10268449,5760,11448,14,8.565431,478,6,1,"ags_data_2"
